name,steam_appid,detailed_description,about_the_game,short_description,total_recommendations
The Galactic Junkers Playtest,2012050,,,,0
Watch Your Back,2012070,"DESCRIPTION:<br />
<br />
Studios Sant Marc welcomes you to Watch Your Back, our first PC game for Steam made by Students!<br />
<br />
You are some small-time journalists, exploited by your boss. When an abandoned Cold War-era shelter is discovered, your boss sends you there to do the story of a lifetime. Only you two will know what awaits you in there...<br />
<br />
FEATURES:<br />
<br />
Explore!<br />
Discover the secrets of the shelter, investigate what happened inside there by finding refugee logs and find out how to get out of there alive!<br />
<br />
Survive!<br />
Survive in this labyrinthic shelter full of noises, obstacles and... monsters! Find a way to get around them before they hunt you down!<br />
<br />
Cooperate!<br />
You will have to decide who is exposed to the dangers of the shelter and who sacrifices himself and stays behind to watch the cameras and guide the other player to the exit. But beware, you will have to communicate with each other constantly, because only the watcher has the necessary information to escape from the shelter!<br />
<br />
Graphics!<br />
Unreal Engine 5's next-generation graphics and lighting engine brings Watch Your Back's shelter to life. All rooms are full of details.","DESCRIPTION:<br />
<br />
Studios Sant Marc welcomes you to Watch Your Back, our first PC game for Steam made by Students!<br />
<br />
You are some small-time journalists, exploited by your boss. When an abandoned Cold War-era shelter is discovered, your boss sends you there to do the story of a lifetime. Only you two will know what awaits you in there...<br />
<br />
FEATURES:<br />
<br />
Explore!<br />
Discover the secrets of the shelter, investigate what happened inside there by finding refugee logs and find out how to get out of there alive!<br />
<br />
Survive!<br />
Survive in this labyrinthic shelter full of noises, obstacles and... monsters! Find a way to get around them before they hunt you down!<br />
<br />
Cooperate!<br />
You will have to decide who is exposed to the dangers of the shelter and who sacrifices himself and stays behind to watch the cameras and guide the other player to the exit. But beware, you will have to communicate with each other constantly, because only the watcher has the necessary information to escape from the shelter!<br />
<br />
Graphics!<br />
Unreal Engine 5's next-generation graphics and lighting engine brings Watch Your Back's shelter to life. All rooms are full of details.","You are some small-time journalists, exploited by your boss. When an abandoned Cold War-era shelter is discovered, your boss sends you there to do the story of a lifetime. Only you two will know what awaits you in there...",0
WHAT THE BAT?,2012100,"<img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012100/extras/UploadVR_GOTY_white.png?t=1678799453"" /><br><br>From the creators of <strong>WHAT THE GOLF?</strong> comes a wacky VR game about having <strong>baseball bats for hands</strong>. Relearn essential life skills such as brushing your teeth, making breakfast, running an art gallery, pickling a tractor, creating imaginary friends and controlling a space station!<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012100/extras/Getwhacky.gif?t=1678799453"" /><h2 class=""bb_tag"">Features</h2><ul class=""bb_ul""><li>100+ unique levels of slapstick comedy and craziness!<br></li><li>9 chapters with unique settings and baseball challenges<br></li><li>Approximately 4 hours of playtime, but remember to take breaks!</li></ul><h2 class=""bb_tag"">Highlights</h2><ul class=""bb_ul""><li>Get ready for the day, take a bath and make coffee with baseball bats for hands<br></li><li>Iron your undies and tune your TV<br></li><li>Already know how to fry an egg? Try it now without hands!<br></li><li>Perform a heist in an art museum<br></li><li>Learn how to pickle everything with bats<br></li><li>Graffiti a wall and paint a horse!<br></li><li>Find out what's up with the elephant in the room<br></li><li>Limbo!<br></li><li>Befriend a good doggo<br></li><li>Destroy world famous art without consequences<br></li><li>Actual baseball perhaps!<br></li><li>Learn life lesson on how to create electricity<br></li><li>Bat-sketball!<br></li><li>Herd sheep with a UFO<br></li><li>Play WHAT THE GOLF? #inception<br></li><li>Put all your eggs in one basket, for a change<br></li><li>Never trust the seagulls<br></li><li>A space satellite romance?</li></ul><br><strong>Disclaimer: This game will not make you good at baseball.</strong><br><br><br>PS: If you have an issue with the game, head to our support page we'll do our best to help:<br><a href=""https://steamcommunity.com/linkfilter/?url=https://what-the-bat-faq.groovehq.com/help"" target=""_blank"" rel="" noopener""  >https://what-the-bat-faq.groovehq.com/help</a><br><br>PPS: The other silly game you can play:<br><a href=""https://store.steampowered.com/app/785790/WHAT_THE_GOLF/"" target=""_blank"" rel=""""  id=""dynamiclink_0"" >https://store.steampowered.com/app/785790/WHAT_THE_GOLF/[/url</a>","<img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012100/extras/UploadVR_GOTY_white.png?t=1678799453"" /><br><br>From the creators of <strong>WHAT THE GOLF?</strong> comes a wacky VR game about having <strong>baseball bats for hands</strong>. Relearn essential life skills such as brushing your teeth, making breakfast, running an art gallery, pickling a tractor, creating imaginary friends and controlling a space station!<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012100/extras/Getwhacky.gif?t=1678799453"" /><h2 class=""bb_tag"">Features</h2><ul class=""bb_ul""><li>100+ unique levels of slapstick comedy and craziness!<br></li><li>9 chapters with unique settings and baseball challenges<br></li><li>Approximately 4 hours of playtime, but remember to take breaks!</li></ul><h2 class=""bb_tag"">Highlights</h2><ul class=""bb_ul""><li>Get ready for the day, take a bath and make coffee with baseball bats for hands<br></li><li>Iron your undies and tune your TV<br></li><li>Already know how to fry an egg? Try it now without hands!<br></li><li>Perform a heist in an art museum<br></li><li>Learn how to pickle everything with bats<br></li><li>Graffiti a wall and paint a horse!<br></li><li>Find out what's up with the elephant in the room<br></li><li>Limbo!<br></li><li>Befriend a good doggo<br></li><li>Destroy world famous art without consequences<br></li><li>Actual baseball perhaps!<br></li><li>Learn life lesson on how to create electricity<br></li><li>Bat-sketball!<br></li><li>Herd sheep with a UFO<br></li><li>Play WHAT THE GOLF? #inception<br></li><li>Put all your eggs in one basket, for a change<br></li><li>Never trust the seagulls<br></li><li>A space satellite romance?</li></ul><br><strong>Disclaimer: This game will not make you good at baseball.</strong><br><br><br>PS: If you have an issue with the game, head to our support page we'll do our best to help:<br><a href=""https://steamcommunity.com/linkfilter/?url=https://what-the-bat-faq.groovehq.com/help"" target=""_blank"" rel="" noopener""  >https://what-the-bat-faq.groovehq.com/help</a><br><br>PPS: The other silly game you can play:<br><a href=""https://store.steampowered.com/app/785790/WHAT_THE_GOLF/"" target=""_blank"" rel=""""  id=""dynamiclink_1"" >https://store.steampowered.com/app/785790/WHAT_THE_GOLF/[/url</a>",You have bats for hands - now GO! Swing through a series of increasingly silly minigames in a slapstick VR comedy that’s about so much more than baseball.,0
Ashzel & The Power Dagger,2012170,"THE NEW VAMPIRE FANTASY ACTION RPG.<br />
The Vampires of The West Coast have conspired against Ashzel. They've taken his Power Dagger in an attempt to Sabotage his personal power. He must face the Vampires in Combat. A Fire has risen in Ashzel, to Rise, Gain, Reclaim and Master his power. Rise, Gain, and Master your power as Ashzel. <br />
• A World Full of Excitement and Eeriness<br />
A world where action, mystery and sophistication are seamlessly connected.  A variety of locations with beautiful three-dimensional designs. As you explore, the joy of discovering unknown and overwhelming threats that await you, lead to a high sense of accomplishment.<br />
• Embody Ashzel the Vampire<br />
Develop your play style, such as harnessing power, outmaneuvering the traitors, use combat skills to become a vampire warrior, increase financial wealth by collecting gold, nourish yourself with bottles of blood, and avoid deadly liquid traps.<br />
• An Epic Elegant Drama","THE NEW VAMPIRE FANTASY ACTION RPG.<br />
The Vampires of The West Coast have conspired against Ashzel. They've taken his Power Dagger in an attempt to Sabotage his personal power. He must face the Vampires in Combat. A Fire has risen in Ashzel, to Rise, Gain, Reclaim and Master his power. Rise, Gain, and Master your power as Ashzel. <br />
• A World Full of Excitement and Eeriness<br />
A world where action, mystery and sophistication are seamlessly connected.  A variety of locations with beautiful three-dimensional designs. As you explore, the joy of discovering unknown and overwhelming threats that await you, lead to a high sense of accomplishment.<br />
• Embody Ashzel the Vampire<br />
Develop your play style, such as harnessing power, outmaneuvering the traitors, use combat skills to become a vampire warrior, increase financial wealth by collecting gold, nourish yourself with bottles of blood, and avoid deadly liquid traps.<br />
• An Epic Elegant Drama","Ashzel &amp; The Power Dagger, is a Vampire Fantasy action-adventure RPG. Set in the Eerie, mysterious, dark, and sophisticated West Coast - a place where the Vampires of the West Coast are drawn into wonder, awe, and elegant drama.",0
RhyVerse Playtest,2012200,,,,0
Mouse People,2011550,"<img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011550/extras/about_this_game.gif?t=1671183365"" /><br><br>Mouse people is an experiential commercial game. Please use your mouse to click, drag and destroy people and things. Be chill , face up to your your own thoughts. We have a little plot about 20 to 30 minutes, and an endless mode.<h2 class=""bb_tag"">Gameplay</h2>You can throw away lots of things. From a Band-Aid which can cure your broken-heart, discarded job resumes, cars in traffic jams, crazy taffic lights and even your own mind.<br><br><ul class=""bb_ul""><li> This game is easy to controll. You just need to control the character (or the mouse) to click on the item, press and release it.<br><br></li><li> There is no text in the game. I used a rather vague expression, because I also wanna understand your thoughts, and share some stories with other players. </li></ul><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011550/extras/gif_2_616x346.gif?t=1671183365"" /><br><br>Even dialog can be thrown away.<br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011550/extras/gif_3_616x346.gif?t=1671183365"" /><h2 class=""bb_tag"">About the developers</h2>The progress of making this game includes my chaos, excitement and patience. This is Liujiajun and it's my fifth game on Steam. I hope you love my game. At last, Thanks for playing my game.<br><br>Do you want to get the newest information about ? Please follow our Discord.<br><ul class=""bb_ul""><li> Discord: <a href=""https://steamcommunity.com/linkfilter/?url=https://discord.gg/SHTatwG8hN[/url"" target=""_blank"" rel="" noopener""  >https://discord.gg/SHTatwG8hN[/url</a></li></ul>","<img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011550/extras/about_this_game.gif?t=1671183365"" /><br><br>Mouse people is an experiential commercial game. Please use your mouse to click, drag and destroy people and things. Be chill , face up to your your own thoughts. We have a little plot about 20 to 30 minutes, and an endless mode.<h2 class=""bb_tag"">Gameplay</h2>You can throw away lots of things. From a Band-Aid which can cure your broken-heart, discarded job resumes, cars in traffic jams, crazy taffic lights and even your own mind.<br><br><ul class=""bb_ul""><li> This game is easy to controll. You just need to control the character (or the mouse) to click on the item, press and release it.<br><br></li><li> There is no text in the game. I used a rather vague expression, because I also wanna understand your thoughts, and share some stories with other players. </li></ul><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011550/extras/gif_2_616x346.gif?t=1671183365"" /><br><br>Even dialog can be thrown away.<br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011550/extras/gif_3_616x346.gif?t=1671183365"" /><h2 class=""bb_tag"">About the developers</h2>The progress of making this game includes my chaos, excitement and patience. This is Liujiajun and it's my fifth game on Steam. I hope you love my game. At last, Thanks for playing my game.<br><br>Do you want to get the newest information about ? Please follow our Discord.<br><ul class=""bb_ul""><li> Discord: <a href=""https://steamcommunity.com/linkfilter/?url=https://discord.gg/SHTatwG8hN[/url"" target=""_blank"" rel="" noopener""  >https://discord.gg/SHTatwG8hN[/url</a></li></ul>","Mouse people is an experiential commercial game. Please use your mouse to click, drag and destroy people and things. Be chill , face up to your your own thoughts.",0
MAZE RUNNER,2011610,"You start the game as a cyborg, lost in the world of the Maze. He will need to find and collect all the orbs that will unlock the door to his freedom. He will have fifteen minutes to do so, before he gets lost forever. But the big problem is that the Maze will not make it easy and will unleash the barbarians that will try to stop you, even if they need to eliminate you. Be the one to unlock the doors to freedom. How does it feel to be lost? Trying to find an exit. Very soon you will know the adventure of MAZE RUNNER.<br />
<br />
Features:<br />
•	Completed mazes as third-person shooter.<br />
•	Collect 7 different weapons and ammo.<br />
•	Collect 3 orbs per level to unlock the doors.<br />
•	Eliminated over 40 different enemies.<br />
•	You have 15 minutes to complete each level.","You start the game as a cyborg, lost in the world of the Maze. He will need to find and collect all the orbs that will unlock the door to his freedom. He will have fifteen minutes to do so, before he gets lost forever. But the big problem is that the Maze will not make it easy and will unleash the barbarians that will try to stop you, even if they need to eliminate you. Be the one to unlock the doors to freedom. How does it feel to be lost? Trying to find an exit. Very soon you will know the adventure of MAZE RUNNER.<br />
<br />
Features:<br />
•	Completed mazes as third-person shooter.<br />
•	Collect 7 different weapons and ammo.<br />
•	Collect 3 orbs per level to unlock the doors.<br />
•	Eliminated over 40 different enemies.<br />
•	You have 15 minutes to complete each level.","You start the game as a cyborg, lost in the world of the Maze. He will need to find and collect all the orbs that will unlock the door to his freedom. He will have fifteen minutes to do so, before he gets lost forever. Completed mazes as third-person shooter. Eliminated over 40 different enemies.",0
死亡旅店Ⅱ亡者归来-Death Inn Ⅱ The Immortal Is Coming,2011640,"An ordinary movie crew walks into a cursed castle, but can't find a way out... Murders that spanned seven centuries have resurfaced, and those who died 100 years ago are back in the background.<br />
<br />
An ancient castle full of fog, midnight all sorts of weird things happen one after another, and people die mysteriously, everyone is apprehensive and uneasy.<br />
<br />
You need to try to survive here and explore ways to escape. Be careful with every judgment you make. Every choice you make determines the outcome.<br />
<br />
Only calm thinking can solve the puzzle and escape from this nightmare place.<br />
<br />
<br />
Game Play<br />
<br />
You will play the role of Yu Qiu, the stunt double of the crew, or Duan Kexin, the heroine of  Death Inn. You will come to the castle with other crew members to explore the mysterious truth under the fog.<br />
<br />
The second view is triggered by a hidden line after an underground expedition, and the player can then choose the view.<br />
<br />
The operation mode is simple, easy to use, a variety of game props improve the game playability.<br />
<br />
There are several mysterious personas that require the player to pick holes in each one's words. Use clue gathering, plot judgment, and choice options to reach various endings<br />
<br />
The plot is closely linked, and there are many subtle clues in different branches due to plot differences. You need to analyze every detail to solve the puzzle.<br />
<br />
<br />
Features<br />
<br />
&quot;Death Inn Ⅱ- The Immortal Is Coming&quot; to follow the first &quot;Death Inn&quot; story, is a plot to the suspense survival theme of the work.<br />
<br />
Dark scenes and gloomy background music, creating a scary and exciting atmosphere, let the player immersive.<br />
<br />
Double female perspective mode. With the cast's understudy Yu Qiu as the first point of view, &quot;Death Inn&quot; female lead Duan Kexin as the second point of view, the outcome of the two routes are different.<br />
<br />
The story is rich and wonderful. The player can make choices based on their own reasoning, and events unfold in a very confusing way. Who will be next, the outcome is surprising.","An ordinary movie crew walks into a cursed castle, but can't find a way out... Murders that spanned seven centuries have resurfaced, and those who died 100 years ago are back in the background.<br />
<br />
An ancient castle full of fog, midnight all sorts of weird things happen one after another, and people die mysteriously, everyone is apprehensive and uneasy.<br />
<br />
You need to try to survive here and explore ways to escape. Be careful with every judgment you make. Every choice you make determines the outcome.<br />
<br />
Only calm thinking can solve the puzzle and escape from this nightmare place.<br />
<br />
<br />
Game Play<br />
<br />
You will play the role of Yu Qiu, the stunt double of the crew, or Duan Kexin, the heroine of  Death Inn. You will come to the castle with other crew members to explore the mysterious truth under the fog.<br />
<br />
The second view is triggered by a hidden line after an underground expedition, and the player can then choose the view.<br />
<br />
The operation mode is simple, easy to use, a variety of game props improve the game playability.<br />
<br />
There are several mysterious personas that require the player to pick holes in each one's words. Use clue gathering, plot judgment, and choice options to reach various endings<br />
<br />
The plot is closely linked, and there are many subtle clues in different branches due to plot differences. You need to analyze every detail to solve the puzzle.<br />
<br />
<br />
Features<br />
<br />
&quot;Death Inn Ⅱ- The Immortal Is Coming&quot; to follow the first &quot;Death Inn&quot; story, is a plot to the suspense survival theme of the work.<br />
<br />
Dark scenes and gloomy background music, creating a scary and exciting atmosphere, let the player immersive.<br />
<br />
Double female perspective mode. With the cast's understudy Yu Qiu as the first point of view, &quot;Death Inn&quot; female lead Duan Kexin as the second point of view, the outcome of the two routes are different.<br />
<br />
The story is rich and wonderful. The player can make choices based on their own reasoning, and events unfold in a very confusing way. Who will be next, the outcome is surprising.","Death Inn Ⅱ- The Immortal Is Coming is a horror puzzle. The film crew is in a castle to finish, What is the mystery behind the mysterious death of a leading actress in a castle? Was it a homicide or was there more to it? It's a foggy castle, but none of the truth is buried forever.",0
Spiritus:One,2011650,"Return to classic survival horror in a unique new way. Albert and Rose investigate the mansion of 'Sanctuary', home to miscreants and broken souls, a vestige of horrors and dark secrets. <br />
<br />
Presented in wonderful 3D HD graphics with awesome PSX style retro effects, Spiritus : One is the definite survival horror experience.<br />
<br />
GAME FEATURES (EARLY ACCESS)<br />
-Take arms and shoot zombies in this 3D top down survival horror.<br />
-Precision aiming with mouse control<br />
-Explore the Ash Manor with wonderfully desired details<br />
-Explore the grounds of Ash Manor and explore caves, forests and a cabin in the woods<br />
-Investigate the areas with story driven and realistic FMV sequences<br />
-Variable (size based) Inventory system (Early Access note- not finished)<br />
<br />
PRESENTATION<br />
-A game presented in classic 3D survival horror with a unique top down perspective to fully immerse you in the world of Spiritus<br />
-PSX Style rendering which takes players back to the best days of survival horror.<br />
<br />
SOUNDTRACK<br />
-Immersive sound effects and chilling soundtrack that immerses the player in the horror.","Return to classic survival horror in a unique new way. Albert and Rose investigate the mansion of 'Sanctuary', home to miscreants and broken souls, a vestige of horrors and dark secrets. <br />
<br />
Presented in wonderful 3D HD graphics with awesome PSX style retro effects, Spiritus : One is the definite survival horror experience.<br />
<br />
GAME FEATURES (EARLY ACCESS)<br />
-Take arms and shoot zombies in this 3D top down survival horror.<br />
-Precision aiming with mouse control<br />
-Explore the Ash Manor with wonderfully desired details<br />
-Explore the grounds of Ash Manor and explore caves, forests and a cabin in the woods<br />
-Investigate the areas with story driven and realistic FMV sequences<br />
-Variable (size based) Inventory system (Early Access note- not finished)<br />
<br />
PRESENTATION<br />
-A game presented in classic 3D survival horror with a unique top down perspective to fully immerse you in the world of Spiritus<br />
-PSX Style rendering which takes players back to the best days of survival horror.<br />
<br />
SOUNDTRACK<br />
-Immersive sound effects and chilling soundtrack that immerses the player in the horror.",Albert and Rose investigate a manor with miscreants and broken souls. Stay together and survive the horror.,0
Long Drop,2011730,"Long Drop is a quirky casual medieval puzzler, set in a time when hygiene was a luxury.<br>By the power of POOP, fling your way through the mucks of the Long Drop. <br>Solve challenging puzzles and unlock new poople with unique abilities.<br><br><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011730/extras/banner1.png?t=1669996838"" /><br>There are dozens of puzzles that will test your skills. <br>Master them, and you're well on your way to becoming the ultimate poop flinger!<br><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011730/extras/banner2.png?t=1669996838"" /><br>There are 5 different poops to unlock, each with unique traits and abilities. <br>Hone in on their prowess and solve the challenging puzzles of the Long Drop.<br><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011730/extras/banner3.png?t=1669996838"" /><br>Ever heard of &quot;Polish a Turd&quot;? Well, now you can!<br>Unlock dozens of skins and customize the poople to your liking.<br><br><br><strong>FEATURES</strong><br><ul class=""bb_ul""><li> Fling poop in the mucks of the Long Drop, yes that's a feature.<br></li><li> Customise your favorite poops, polish a turd?<br></li><li> Solve dozens of challenging levels.<br></li><li> Discover 5 different kinds of Poop, because one just isn't enough.</li></ul><br><strong>Story</strong><br>&quot;Forged in the bowels of darkness, forsaken to the underbelly of kingdoms, forgotten by nobles and rabble alike. But there is hope! The chosen has come, lead us through the mucks of the Long Drop!&quot;<br><br>You, the chosen, will have to lead the poople through the mucks of the Long Drop so that they can be united together with the rest of their kind.<br><br>YOU, are their ONLY hope, master poop flinger!","Long Drop is a quirky casual medieval puzzler, set in a time when hygiene was a luxury.<br>By the power of POOP, fling your way through the mucks of the Long Drop. <br>Solve challenging puzzles and unlock new poople with unique abilities.<br><br><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011730/extras/banner1.png?t=1669996838"" /><br>There are dozens of puzzles that will test your skills. <br>Master them, and you're well on your way to becoming the ultimate poop flinger!<br><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011730/extras/banner2.png?t=1669996838"" /><br>There are 5 different poops to unlock, each with unique traits and abilities. <br>Hone in on their prowess and solve the challenging puzzles of the Long Drop.<br><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011730/extras/banner3.png?t=1669996838"" /><br>Ever heard of &quot;Polish a Turd&quot;? Well, now you can!<br>Unlock dozens of skins and customize the poople to your liking.<br><br><br><strong>FEATURES</strong><br><ul class=""bb_ul""><li> Fling poop in the mucks of the Long Drop, yes that's a feature.<br></li><li> Customise your favorite poops, polish a turd?<br></li><li> Solve dozens of challenging levels.<br></li><li> Discover 5 different kinds of Poop, because one just isn't enough.</li></ul><br><strong>Story</strong><br>&quot;Forged in the bowels of darkness, forsaken to the underbelly of kingdoms, forgotten by nobles and rabble alike. But there is hope! The chosen has come, lead us through the mucks of the Long Drop!&quot;<br><br>You, the chosen, will have to lead the poople through the mucks of the Long Drop so that they can be united together with the rest of their kind.<br><br>YOU, are their ONLY hope, master poop flinger!",By the power of POOP! Solve challenging puzzles in this medieval-themed casual puzzler. Unlock new poops and harness their power to overcome the challenges of the Long Drop.,0
Silver Lines,2011750,"Play by listening to a line from a movie while choices of actors or movies appear on screen.<br>Pick the correct actor and/or movie the line comes from. <strong>The faster you answer the greater your score.</strong><br>Some takes may show choices by name, others by image.<br><br>Play 8 takes per round. How many rounds can you go?<br><br>Challenge yourself in solo play, or sign up to level up, earn golden tickets, challenge your friends or the community, access cross-platform leaderboards, or suggest more movies. <i>Your details will never be shared.</i><br><br>Get the best scores, unlock those achievements and show everyone the master of the silver screen you truly are!<h2 class=""bb_tag"">Featuring</h2><br><strong>Filmdom Acting Moments</strong><br>Thousands of acting moments throughout fildmdom's Eras and Genres.<br>Challenge yourself and find out how far you can go.<br><br><strong>Challenges</strong><br>Signup and get access to cross-platform challenges after every round.<br>Send your great run as a challenge to a friend or the community.<br><br><strong>Couch-Multiplayer</strong><br>Gather with friends and go against each other via local WiFi in free-for-all or team-based couch multiplayer matches.<br>Who's that one friend that's definitely in your team?<br><br><strong>Best experienced with headphones on</strong>","Play by listening to a line from a movie while choices of actors or movies appear on screen.<br>Pick the correct actor and/or movie the line comes from. <strong>The faster you answer the greater your score.</strong><br>Some takes may show choices by name, others by image.<br><br>Play 8 takes per round. How many rounds can you go?<br><br>Challenge yourself in solo play, or sign up to level up, earn golden tickets, challenge your friends or the community, access cross-platform leaderboards, or suggest more movies. <i>Your details will never be shared.</i><br><br>Get the best scores, unlock those achievements and show everyone the master of the silver screen you truly are!<h2 class=""bb_tag"">Featuring</h2><br><strong>Filmdom Acting Moments</strong><br>Thousands of acting moments throughout fildmdom's Eras and Genres.<br>Challenge yourself and find out how far you can go.<br><br><strong>Challenges</strong><br>Signup and get access to cross-platform challenges after every round.<br>Send your great run as a challenge to a friend or the community.<br><br><strong>Couch-Multiplayer</strong><br>Gather with friends and go against each other via local WiFi in free-for-all or team-based couch multiplayer matches.<br>Who's that one friend that's definitely in your team?<br><br><strong>Best experienced with headphones on</strong>",Who's the fannest of them all?,0
Yellow Taxi Goes Vroom,2011780,"<h1>WISHLIST NOW</h1><p><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/YTGV_Wishlist_Now_v3.png?t=1679070668"" /></p><br><h1>About the Game</h1><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/ascii_Vroom_V3.png?t=1679070668"" /><br><br><br>AND NOW WITH A PLAYABLE <strong>DEMO</strong>  \o/<br><br>You're a yellow taxi in a platformer game with <strong>no jump button</strong>. None. NOPE.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/Clip_1_GIF.gif?t=1679070668"" /><br><br><span class=""bb_spoiler""> Actually, you can jump. We just won’t tell you how. </span><br><br><br><br><strong>So many levels:</strong> vroom on pizza, vroom on an island, vroom anywhere. Va-Va vroom.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/Clip_2_GIF.gif?t=1679070668"" /><br><br><br><br>Put the oddity in commodity by <strong>collecting gears and coins</strong> to unlock progress and cosmetics.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/Clip_3_GIF.gif?t=1679070668"" /><br><br><br><br><strong>Explore</strong> story levels at your leisure, or <strong>compete</strong> in Time Attack mode for a place in the leaderboards.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/Clip_4_GIF.gif?t=1679070668"" /><br><br><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/taxi_signature_asset_TEXTV2.png?t=1679070668"" /><br><br><a href=""https://steamcommunity.com/linkfilter/?url=https://discord.gg/NhnK2KU3BS"" target=""_blank"" rel="" noopener""  ><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/YTGV_Community_Server_v3.png?t=1679070668"" /></a><br> <br> <br> ","<img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/ascii_Vroom_V3.png?t=1679070668"" /><br><br><br>AND NOW WITH A PLAYABLE <strong>DEMO</strong>  \o/<br><br>You're a yellow taxi in a platformer game with <strong>no jump button</strong>. None. NOPE.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/Clip_1_GIF.gif?t=1679070668"" /><br><br><span class=""bb_spoiler""> Actually, you can jump. We just won’t tell you how. </span><br><br><br><br><strong>So many levels:</strong> vroom on pizza, vroom on an island, vroom anywhere. Va-Va vroom.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/Clip_2_GIF.gif?t=1679070668"" /><br><br><br><br>Put the oddity in commodity by <strong>collecting gears and coins</strong> to unlock progress and cosmetics.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/Clip_3_GIF.gif?t=1679070668"" /><br><br><br><br><strong>Explore</strong> story levels at your leisure, or <strong>compete</strong> in Time Attack mode for a place in the leaderboards.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/Clip_4_GIF.gif?t=1679070668"" /><br><br><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/taxi_signature_asset_TEXTV2.png?t=1679070668"" /><br><br><a href=""https://steamcommunity.com/linkfilter/?url=https://discord.gg/NhnK2KU3BS"" target=""_blank"" rel="" noopener""  ><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2011780/extras/YTGV_Community_Server_v3.png?t=1679070668"" /></a><br> <br> <br> ",Yellow Taxi Goes Vroom is an arcade bump'a'jump platformer where you take people for rides and the oil industry for all they have.,0
DonutCrabs,2011130,"Donut Crabs is a physics puzzle game.<br />
<br />
Control the platforms and guide the donut along the trajectory you set.<br />
Help the crab collect all the donuts on the island and solve the huge amount of relaxing<br />
and, sometimes, hard puzzles!<br />
<br />
Peculiarities:<br />
- Nice graphics.<br />
- Realistic physics.<br />
- Relaxing gameplay.","Donut Crabs is a physics puzzle game.<br />
<br />
Control the platforms and guide the donut along the trajectory you set.<br />
Help the crab collect all the donuts on the island and solve the huge amount of relaxing<br />
and, sometimes, hard puzzles!<br />
<br />
Peculiarities:<br />
- Nice graphics.<br />
- Realistic physics.<br />
- Relaxing gameplay.","Donut Crabs is a physics puzzle game. Control the platforms and guide the donut along the trajectory you set. Help the crab collect all the donuts on the island and solve the huge amount of relaxing and, sometimes, hard puzzles!",0
Art your brains,2011140,"Art Your Brains - not too colorful, but interesting puzzle game in which you will find unique levels, interesting quests and objects with unusual physics. Arrows, pencils, weapons, enemies, friends. Whatever gets outside the world will definitely come back, because the world is really round. Place boxes, remove boxes, interact with objects, shoot, destroy enemies, jump, fall. Do whatever comes into your head and enjoy the game. Remember your main goal - to find all the keys and exterminate the enemies, in order to then free the little green man from this unpredictable painted world. Challenge yourself and be sure to complete your goal!","Art Your Brains - not too colorful, but interesting puzzle game in which you will find unique levels, interesting quests and objects with unusual physics. Arrows, pencils, weapons, enemies, friends. Whatever gets outside the world will definitely come back, because the world is really round. Place boxes, remove boxes, interact with objects, shoot, destroy enemies, jump, fall. Do whatever comes into your head and enjoy the game. Remember your main goal - to find all the keys and exterminate the enemies, in order to then free the little green man from this unpredictable painted world. Challenge yourself and be sure to complete your goal!","Art your brains - a puzzle game in which you have to play as a mysterious man who doesn't understand how and where he ended up. A painted world with the same drawn allies and enemies. Spend your free time mastering interesting mechanics, fighting and passing unique levels.",0
